Key	de	fr	it	nl	ru
popup_pen_firmware_update_is_complete_message	Bitte entfernen Sie den tiptoi® Stift vom Computer und schalten Sie ihn danach ein, um die Aktualisierung abzuschließen.\nSchalten Sie ihn nur ein, wenn ausreichend volle Batterien im Stift sind, ansonsten kann die Aktualisierung nicht durchgeführt werden.\n\nAchten Sie auf die gesprochenen Anweisungen nach dem Einschalten des Stifts. Entfernen Sie auf keinen Fall die Batterien des Stifts, während die Aktualisierung durchgeführt wird.\n\nSobald die Aktualisierung abgeschlossen ist, ertönt wieder eine gesprochene Anweisungen aus dem Stift. Danach können Sie den Stift verwenden.	Veuillez débrancher le lecteur tiptoi® de l’ordinateur et allumez-le ensuite pour conclure la mise à jour. \nAllumez-le seulement s’il y a suffisamment de piles pleines dans le lecteur, sinon la mise à jour ne peut pas être effectuée.\n\nRespectez les consignes parlées après que le lecteur soit allumé. Ne retirez jamais les piles du lecteur lorsque la mise à jour est en cours.\n\nUne fois la mise à jour terminée, le lecteur émet à nouveau des consignes orales. Vous pouvez ensuite utiliser le lecteur.	Per completare l’aggiornamento, scollegate il lettore tiptoi® dal computer e accendetelo di nuovo.\nAccendete il lettore solo se contiene batterie sufficientemente cariche, perché altrimenti l’aggiornamento non è possibile.\n\nDopo aver acceso il lettore digitale, seguite le indicazioni vocali. Non rimuovere mai le batterie dal lettore digitale durante l’aggiornamento.\n\nAl termine dell’aggiornamento si riceveranno di nuovo indicazioni vocali dal lettore digitale. In seguito potrete utilizzare il lettore digitale.	Verwijder de tiptoi® stift van de computer en schakel hem vervolgens in om de update af te sluiten.\nSchakel hem alleen in als er voldoende volle batterijen in de stift zitten, anders kan de update niet worden uitgevoerd.\n\nLet op de gesproken aanwijzingen na het inschakelen van de stift. Verwijder tijdens het updaten in geen geval de batterijen van de stift.\n\nZodra de update is afgesloten, komt er weer een gesproken aanwijzing uit de stift. Daarna kunt u de stift gebruiken.	Пожалуйста, отсоедините tiptoi®ручку от компьютера, а затем включите её, чтобы закончить процесс обновления. \nВключите ручку только при достаточно заряженных элементах питания , в противном случае процес обновления не будет завершён.\nСледуйте указаниям, которые Вам сообщит ручка, как только Вы её включите. Ни в коем случае не удаляйте элементы питания ручки во время проецесса обновления.\nПосле завершения процесса обновления Вы снова получите указания. После этого Вы можете пользоваться ручкой.
popup_pen_take_ownership_no_audio_head	Benutzerzuordnung des Stifts	Affectation d’utilisateur du lecteur	Assegnazione utente al lettore digitale	Gebruikerstoewijzing van de stift	Правила пользования ручкой
popup_pen_take_ownership_no_audio_message	Der angeschlossene tiptoi® Stift ist einem anderen Benutzer zugeordnet. Möchten Sie den Stift dem aktuellen Benutzer neu zuordnen?	Le lecteur tiptoi® connecté est affecté à un autre utilisateur. Souhaitez-vous réaffecter le lecteur à l’utilisateur actuel ?	Il lettore tiptoi® collegato è assegnato a un altro utente. Desiderate assegnare il lettore digitale all’attuale utente?	De aangesloten tiptoi® stift is toegewezen aan een andere gebruiker. Wilt u de stift opnieuw toewijzen aan de huidige gebruiker?	Подключённая ручка tiptoi® используется другим пользователем. Хотите изменить текущего пользователя?
popup_pen_take_ownership_no_audio_button_yes	Neu zuordnen	Réaffecter	Riassegna	Opnieuw toewijzen	Изменить пользователя
popup_pen_take_ownership_no_audio_button_no	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_pen_take_ownership_audio_head	Benutzerzuordnung des Stifts	Affectation d’utilisateur du lecteur	Assegnazione utente al lettore digitale	Gebruikerstoewijzing van de stift	Правила пользования ручкой
popup_pen_take_ownership_audio_message	Der angeschlossene tiptoi® Stift ist einem anderen Benutzer zugeordnet. Bei einer Neuzuordnung werden die vorhandenen Hörbücher und Lieder vom Stift gelöscht, sind aber weiterhin im Benutzerkonto des Käufers vorhanden. Möchten Sie den Stift dem aktuellen Benutzer neu zuordnen?	Le lecteur tiptoi® connecté est affecté à un autre utilisateur. Souhaitez-vous réaffecter le lecteur à l'utilisateur actuel? Les livres audio et chansons existants sont supprimés du lecteur, mais restent dans le compte utilisateur de l'acheteur. Souhaitez-vous réaffecter le lecteur à l’utilisateur actuel ?	Il lettore tiptoi® collegato è assegnato a un altro utente. Desiderate assegnare il lettore digitale all’attuale utilizzatore? Gli audiolibri e le canzoni presenti sul lettore verranno cancellati, ma continuano a rimanere disponibili sull’account dell’acquirente. Desiderate assegnare il lettore digitale all’attuale utente?	De aangesloten tiptoi® stift is toegewezen aan een andere gebruiker. Wilt u de stift opnieuw toewijzen aan de huidige gebruiker? Aanwezige luisterboeken en liedjes worden van de stift gewist, maar bevinden zich nog steeds in de account van de koper. Wilt u de stift opnieuw toewijzen aan de huidige gebruiker?	Подключённая ручка tiptoi® настроена на параметры другого пользователя. Хотите изменить текущего пользователя? Имеющиеся аудиокниги и песни при этом будут удалены с ручки, но они останутся на пользовательском аккаунте покупателя. Вы хотите изменить текущего пользователя?
popup_pen_take_ownership_audio_button_yes	Neu zuordnen	Réaffecter	Riassegna	Opnieuw toewijzen	Изменить пользователя
popup_pen_take_ownership_audio_button_no	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_pen_install_local_products_head	Audiodateien auf Stift übertragen	Transférer des fichiers audio vers le lecteur	Trasferire i file audio sul lettore digitale	Audiobestanden op de stift zetten	Перенести аудиофайл на ручку
popup_pen_install_local_products_message	Sie haben tiptoi® Audiodateien auf Ihren Computer geladen. Wollen Sie diese nun auf Ihren tiptoi® Stift übertragen?	Vous avez chargé des fichiers audio tiptoi® sur votre ordinateur. Souhaitez-voulez-vous les transférer maintenant sur votre lecteur tiptoi® ?	Avete scaricato dei file audio tiptoi® sul vostro computer. Volete ora trasferirli sul vostro lettore tiptoi®?	U hebt tiptoi® audiobestanden op uw computer gedownload. Wilt u deze nu op uw tiptoi® stift overzetten?	Вы загрузили tiptoi®аудиофайл на Ваш компьютер. Хотите перенести его на Вашу tiptoi®ручку?
popup_pen_install_local_products_button_yes	Übertragen	Transférer	Trasferisci	Overzetten	Перенести
popup_pen_install_local_products_button_no	Jetzt nicht	Pas maintenant	Non ora	Nu niet	Не сейчас
popup_pen_install_local_products_toggle_auto_install	Zukünftig automatisch übertragen (in Optionen änderbar)	Transférer automatiquement à l'avenir (peut être modifié dans les options)	Trasferimento automatico in futuro (modificabile sotto Opzioni)	Voortaan automatisch overzetten (te wijzigen in Opties)	Далее всегда автоматически переносить (можно изменить опции)
popup_pen_uninstall_audio_busy_head	Löschvorgang läuft	Suppression en cours	Cancellazione in corso	Wordt gewist	Идёт процесс удаления
popup_pen_uninstall_audio_busy_message	Bitte warten Sie, bis der Vorgang abgeschlossen ist.	Veuillez patienter jusqu'à ce que cette opération soit terminée.	Attendere il completamento dell’operazione.	Wacht tot het proces is beëindigd.	Пожалуйста, дождитесь завершения процесса
popup_quit_while_installing_head	Manager beenden	Quitter le Manager	Esci dal Manager	Manager beëindigen	Завершить программу
popup_quit_while_installing_message	Es werden gerade tiptoi® Audiodateien auf Ihren tiptoi® Stift geladen. Wenn Sie den tiptoi® Manager nun beenden, wird dieser Vorgang abgebrochen.\n\nWollen Sie den Manager trotzdem beenden?	Des fichiers audio Tiptoi® sont en cours de chargement sur votre lecteur tiptoi®. Si vous quittez tiptoi® Manager maintenant, ce processus sera annulé.\n\nVoulez-vous tout de même quitter le Manager?	Il vostro lettore tiptoi® sta caricando dei file audio. Uscendo ora dal tiptoi® Manager si interrompe questa operazione.\n\nDesiderate lo stesso uscire dal Manager?	Er worden net tiptoi® audiobestanden op uw tiptoi® stift gedownload. Als u de tiptoi® manager nu beëindigt, wordt dit proces afgebroken.\n\nWilt u de manager alsnog beëindigen?	В настоящий момент загружаются tiptoi®аудиофайлы на Вашу tiptoi®ручку. Если Вы сейчас закроете программу tiptoi®Manager, этот процесс будет остановлен. \n\nВы хотите завершить работу Manager?
popup_quit_while_installing_confirm	Beenden	Quitter	Esci	Beëindigen	Завершить
popup_quit_while_installing_deny	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_quit_while_pen_busy_head	Manager beenden	Quitter le Manager	Esci dal Manager	Manager beëindigen	Завершить Мanager
popup_quit_while_pen_busy_message	Ein wichtiger Vorgang wird gerade auf Ihrem tiptoi® Stift ausgeführt. Dieser sollte nicht unterbrochen werden!\n\n Bitte warten Sie und entfernen Sie den Stift erst nachdem sich der tiptoi® Manager automatisch beendet hat!	Un processus important est actuellement en cours sur votre lecteur tiptoi®. Ce dernier ne doit pas être interrompu !\n\nMerci de patienter et de retirer le lecteur seulement une fois que tiptoi® Manager s’arrête automatiquement!	Sul vostro lettore tiptoi® è in corso un’operazione importante, che non deve essere interrotta!\n\n Si prega di attendere e di staccare il lettore digitale solo dopo che il tiptoi® Manager si è chiuso automaticamente!	Een belangrijk proces wordt net op uw tiptoi® stift uitgevoerd. Dit mag niet onderbroken worden!\n\n Wacht a.u.b. en verwijder de stift pas nadat de tiptoi® manager automatisch is beëindigd!	В настоящий момент на Вашей tiptoi®ручке происходит важный процесс, который не должен быть прерван!\n\n Пожалуйста, подождите и отсоедините ручку только после, как программа tiptoi® Manager автоматически не закроется!
popup_wait_for_shutting_down_head	Schließen der Anwendung	Fermeture du Manager en cours…	 Il Manager viene chiuso	Manager wordt beëindigd	Программа Manager завершается
popup_wait_for_shutting_down_message	Der tiptoi® Manager wird beendet, bitte warten...	Fermeture du Manager en cours, veuillez patienter un instant.	Chiusura del tiptoi® Manager in corso, si prega attendere.	De tiptoi® manager wordt beëindigd, een ogenblik geduld a.u.b.	Программа tiptoi® Manager завершается, пожалуйста, подождите.
popup_pen_configuration_auto_close_head	Verbindung zum Stift verloren	Connexion au lecteur interrompue	Caduta connessione con lettore	Verbinding met de stift verloren	Связь с ручкой потереяна.
popup_pen_configuration_auto_close_message	Die Verbindung zu Ihrem tiptoi® Stift wurde unterbrochen. Um auf die Stiftverwaltung zugreifen zu können, muss Ihr Stift angeschlossen und eingeschaltet sein.	La connexion à votre lecteur tiptoi® a été interrompue. Pour accéder à la gestion du lecteur, votre lecteur doit être connecté et allumé.	Il collegamento con il vostro lettore tiptoi® è stato interrotto. Per poter accedere alla gestione del lettore digitale, il vostro lettore deve essere collegato e acceso.	De verbinding met uw tiptoi® stift werd onderbroken. Om toegang te verkrijgen tot het stiftbeheer moet uw stift aangesloten en ingeschakeld zijn.	Связь с tiptoi®ручкой была прервана. Для того, чтобы снова управлять ручкой, необходимо подсоединить и включить ручку.
popup_pen_configuration_auto_close_button	OK	OK	OK	OK	ОК
popup_audio_screen_auto_close_head	Ansicht wird geschlossen	Fermeture de l’aperçu	La visualizzazione viene chiusa	Beeld wordt gesloten	Вид закрыт
popup_audio_screen_auto_close_message	Sie sind nicht eingeloggt oder die Verbindung zum tiptoi® Stift wurde unterbrochen. Um auf Hörbücher und Lieder zugreifen zu können, müssen Sie sich anmelden und Ihr Stift muss angeschlossen und eingeschaltet sein.	Vous n'êtes pas connecté ou la connexion au lecteur tiptoi® a été interrompue. Pour accéder aux livres audio et aux chansons, vous devez vous connecter et votre stylet doit être connecté et allumé.	Non siete connessi o il collegamento con il lettore tiptoi® è stato interrotto. Per poter accedere agli audiolibri e alle canzoni, dovete effettuare il login e il vostro lettore digitale deve essere collegato e acceso.	U bent niet ingelogd of de verbinding met de tiptoi® stift werd onderbroken. Om toegang te verkrijgen tot luisterboeken en liedjes moet u zich aanmelden en uw stift moet aangesloten en ingeschakeld zijn.	Вы не вошли в систему, или же связь с tiptoi® ручкой была прервана. Чтобы получить доступ к аудиокнигам и песням, Вы должны войти в систему, а ручка должна быть подключена и включена.
popup_audio_screen_auto_close_button	OK	OK	OK	OK	ОК
popup_user_load_licenses_busy_head	Prüfung Ihrer Hörbücher und Lieder	Contrôle de vos livres audio et chansons	Verifica degli audiolibri e delle canzoni	Controle van uw luisterboeken en liedjes	Проверка аудиокниг и песен.
popup_user_load_licenses_busy_message	Bitte warten Sie, bis der Vorgang abgeschlossen ist.	Veuillez patienter jusqu'à ce que cette opération soit terminée.	Attendere il completamento dell’operazione.	Wacht tot het proces is beëindigd.	Пожалуйста, дождитесь окончания процесса
popup_catalog_screen_forbidden_head	Hinzufügen zum Warenkorb nicht möglich	Impossible d'ajouter au panier	Impossibile mettere nel carrello	Toevoegen aan winkelwagen niet mogelijk	Невозможно добавить товар в корзину
popup_catalog_screen_forbidden_message	Der Warenkorb kann nicht gleichzeitig herkömmliche tiptoi® Produkte und tiptoi® Hörbücher oder Lieder aufnehmen. Bitte gehen Sie mit dem aktuellen Warenkorb zur Kasse oder leeren Sie den Warenkorb.	Le panier ne peut pas contenir simultanément des produits classiques tiptoi® et de livres audio ou des chansons tiptoi®. Veuillez procéder au paiement avec le panier actuel ou vider le panier.	Il carrello degli acquisti non può contenere contemporaneamente prodotti tiptoi® tradizionali e audiolibri o canzoni tiptoi®. Andate alla cassa con questo carrello o svuotatelo.	De winkelwagen kan niet tegelijkertijd gewone tiptoi® producten en tiptoi® luisterboeken of liedjes opnemen. Ga met de actuele winkelwagen naar de kassa of maak uw winkelwagen leeg.	В корзину невозможно одновременно добавлять обычные tiptoi® товары и tiptoi®аудиокниги или песни. Пожалуйста, перейдите с текущей корзиной на кассу или очистите корзину.
popup_catalog_screen_forbidden_button	OK	OK	OK	OK	ОК
popup_audio_screen_forbidden_head	Hinzufügen zum Warenkorb nicht möglich	Impossible d'ajouter au panier	Impossibile mettere nel carrello	Toevoegen aan winkelwagen niet mogelijk	Невозможно добавить товар в корзину
popup_audio_screen_forbidden_message	Der Warenkorb kann nicht gleichzeitig tiptoi® Hörbücher oder Lieder und herkömmliche tiptoi® Produkte aufnehmen. Bitte gehen Sie mit dem aktuellen Warenkorb zur Kasse oder leeren Sie den Warenkorb.	Le panier ne peut pas contenir simultanément des livres audio ou chansons tiptoi® et des produits tiptoi® classiques. Veuillez procéder au paiement avec le panier actuel ou vider le panier.	Il carrello degli acquisti non può contenere audiolibri e canzoni tiptoi® insieme a prodotti tiptoi® tradizionali. Andate alla cassa con questo carrello o svuotatelo.	De winkelwagen kan niet tegelijkertijd tiptoi® luisterboeken of liedjes en gewone tiptoi® producten opnemen. Ga met de actuele winkelwagen naar de kassa of maak uw winkelwagen leeg.	В корзину невозможно одновременно добавлять аудиокниги или песни и обычные tiptoi® товары. Пожалуйста, перейдите с текущей корзиной на кассу или очистите корзину.
popup_audio_screen_forbidden_button	OK	OK	OK	OK	ОК
popup_installations_will_cancel_head	Ändern der Sprache	Modifier la langue	Modifica della lingua	Wijzigen van de taal	Изменить языковые настройки
popup_installations_will_cancel_message	Beim Ändern der Sprache werden alle laufenden Downloads abgebrochen. Wollen Sie die Sprache wirklich ändern?	Lors de la modification de la langue, tous les téléchargements en cours sont annulés. Souhaitez-vous réellement modifier la langue ?	Se si modifica la lingua, si interrompono tutti i download in corso. Desiderate veramente modificare la lingua?	Bij het wijzigen van de taal worden alle lopende downloads afgebroken. Wilt u de taal echt wijzigen?	При изменении языковых настроек будут прерваны все текущие процессы загрузки. Вы действительно хотите изменить языковые параметры?
popup_installations_will_cancel_confirm	Sprache ändern	Modifier la langue	Modifica lingua	Taal wijzigen	Изменить языковые настройки
popup_installations_will_cancel_deny	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_update_pen_products_head	Neue Version von Audiodateien verfügbar	Nouvelle version de fichiers audio disponible	Nuova versione di file audio disponibile	Nieuwe versie van audiobestanden beschikbaar	Доступна новая версия аудиофайлов
popup_update_pen_products_message	Es sind neue Versionen von Ihren tiptoi® Audiodateien verfügbar. Wollen Sie diese nun aktualisieren?	De nouvelles versions de vos fichiers audio tiptoi® sont disponibles. Souhaitez-vous les mettre à jour maintenant ?	Sono disponibili nuove versioni dei vostri file audio tiptoi®. Volete aggiornare subito?	Er zijn nieuwe versies van uw tiptoi® audiobestanden beschikbaar. Wilt u deze nu updaten?	Доступна новая версия Ваших tiptoi®аудиофайлов. Вы хотите их обновить?
popup_update_pen_products_accept	Aktualisieren	Mettre à jour	Aggiorna	Updaten	Обновить
popup_update_pen_products_deny	Jetzt nicht	Pas maintenant	Non ora	Nu niet	Не сейчас
popup_update_pen_products_toggle	Zukünftig automatisch aktualisieren (in Optionen änderbar)	Transférer automatiquement à l'avenir (peut être modifié dans les options)	Aggiornamento automatico in futuro (modificabile sotto Opzioni)	Voortaan automatisch updaten (te wijzigen in Opties)	Далее всегда автоматически обновлять (можно изменить опции)
popup_manager_update_available_head	Neue Version des tiptoi® Managers verfügbar	Nouvelle version de tiptoi® Manager disponible	Nuova versione del tiptoi® Manager disponibile	Nieuwe versie van de tiptoi® manager beschikbaar	Доступна новая версия tiptoi® Managers verfügbar.
popup_manager_update_available_message	Es ist eine neue Version des tiptoi® Managers verfügbar.\n\nWollen Sie diesen nun aktualisieren?	Une nouvelle version de tiptoi® Manager est disponible pour votre lecteur tiptoi®.\n\nVoulez-vous le mettre à jour maintenant ?	È disponibile una nuova versione del tiptoi® Manager.\n\nDesiderate eseguire l’aggiornamento?	Er is een nieuwe versie van de tiptoi® manager beschikbaar.\n\nWilt u deze nu updaten?	Доступна новая версия tiptoi® Managers.\n\nХотите обновить?
popup_manager_update_available_accept	Aktualisieren	Mettre à jour	Aggiorna	Updaten	Обновить
popup_manager_update_available_decline	Jetzt nicht	Pas maintenant	Non ora	Nu niet	Не сейчас
popup_manager_update_required_head	Aktualisierung des tiptoi® Managers erforderlich	Mise à jour de tiptoi® Manager requise	Necessario aggiornare il tiptoi® Manager	Update van de tiptoi® manager vereist	Необходимо обновление программы tiptoi® Manager.
popup_manager_update_required_message	Ihre Version des tiptoi® Managers muss auf eine neuere Version aktualisiert werden.	Votre version de tiptoi® Manager doit être mise à jour vers une version plus récente.	L’attuale versione del tiptoi® Manager deve essere aggiornata.	Uw versie van de tiptoi® manager moet naar een nieuwere versie worden geüpdated.	Текущая версия tiptoi® Manager должна быть обновлена.
popup_manager_update_required_accept	Aktualisieren	Mettre à jour	Aggiorna	Updaten	Обновить
popup_manager_update_required_decline	Manager beenden	Quitter le Manager	Esci dal Manager	Manager beëindigen	Завершить программу tiptoi® Manager
popup_manager_update_download_progress_head	tiptoi® Manager wird aktualisiert	Mise à jour de tiptoi® Manager en cours	Il tiptoi® Manager viene aggiornato	tiptoi® manager wordt geüpdated	Идёт обновление tiptoi® Manager
popup_manager_update_download_progress_message	Bitte warten Sie, bis der Vorgang abgeschlossen ist.	Veuillez patienter jusqu'à ce que cette opération soit terminée.	Attendere il completamento dell’operazione.	Wacht tot het proces is beëindigd.	Пожалуйста, дождитесь окончания процесса
popup_manager_update_download_complete_head	Aktualisierung abschließen	Terminer la mise à jour	Concludere l’aggiornamento	Update beëindigen	Закончить обновление программного обеспечения
popup_manager_update_download_complete_message	Bitte beenden Sie den tiptoi® Manager, um die Aktualisierung abzuschließen. Folgen Sie anschließend bitte den Anweisungen des Assistenten, um die neue Version des Managers zu installieren.	Veuillez fermer tiptoi® Manager pour terminer la mise à jour. Suivez ensuite les instructions de l'assistant pour installer la nouvelle version de Manager.	Uscire dal tiptoi® Manager per concludere l’aggiornamento. Seguite quindi le indicazioni della procedura guidata per installare la nuova versione.	Beëindig de tiptoi® manager om de update af te sluiten. Volg daarna de aanwijzingen van de assistent op om de nieuwe versie van de manager te installeren.	Пожалуйста, завершите программу tiptoi® Manager для окончания обновления. Чтобы установить новую весию программы tiptoi® Manager, следуйте указаниям ассистента.
popup_manager_update_download_complete_confirm	Beenden	Quitter	Esci	Beëindigen	Завершить
popup_logout_while_installing_audio_head	Abmeldung	Déconnexion	Logout	Afmelding	Выйти из системы
popup_logout_while_installing_audio_message	Es werden gerade Hörbücher oder Lieder auf Ihren tiptoi® Stift geladen. Wenn Sie sich abmelden, wird dieser Vorgang abgebrochen.\n\nWollen Sie sich trotzdem abmelden?	Des livres audio ou les chansons Tiptoi® sont en cours de chargement sur votre lecteur tiptoi®. Si vous vous déconnectez, ce processus sera annulé.\n\nSouhaitez-vous vous déconnecter quand même ?	Il vostro lettore tiptoi® sta caricando audiolibri e canzoni. Se terminate la sessione, questo processo verrà interrotto.\n\nSiete sicuri di volervi disconnettere?	Er worden net luisterboeken of liedjes op uw tiptoi® stift gedownload. Als u zich afmeldt, wordt dit proces afgebroken.\n\nWilt u zich alsnog afmelden?	В настоящий момент на вашу tiptoi®ручку производится загрузка аудиокниг или песен. Если Вы сейчас выйдете из системы, процесс загрузки будет прерван. \n\n Вы хотите выйти из системы?
popup_logout_while_installing_audio_accept	Abmelden	Déconnexion	Logout	Afmelden	Выйти из системы
popup_logout_while_installing_audio_decline	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_connect_pen_reminder_head	Stift nicht verbunden	Lecteur non connecté	Lettore non collegato	Stift niet verbonden	Ручка не подключена
popup_connect_pen_reminder_message	Bitte schalten Sie Ihren tiptoi® Stift ein und schließen Sie ihn an den \nComputer an.	Veuillez allumer votre lecteur tiptoi® et le raccorder à votre ordinateur.	Accendere il lettore tiptoi® e collegarlo al computer.	Zet uw tiptoi® stift aan en sluit hem aan op de computer.	Пожалуйста, включите ручку tiptoi®и подключите её к компьютеру.
popup_connect_pen_reminder_button	OK	OK	OK	OK	ОК
popup_delete_all_recordings_head	CREATE Aufnahmen löschen	Supprimer les enregistrements CREATE	Cancellare registrazioni CREATE	CREATE opnames wissen	Удаление CREATE-записей
popup_delete_all_recordings_message	Wollen Sie alle tiptoi® CREATE Aufnahmen von Ihrem tiptoi® Stift löschen?\n\n<b>Achtung:</b> Die Aufnahmen können nach dem Löschen nicht mehr verwendet und nicht wiederhergestellt werden.	Souhaitez vous supprimer tous les enregistrements tiptoi® CREATE de votre lecteur tiptoi® ?\n\n<b>Attention :</b> les enregistrements ne peuvent plus être utilisés après suppression et ne peuvent pas être restaurés.	Volete cancellare tutte le registrazioni tiptoi® CREATE dal vostro lettore tiptoi®?\n\n<b>Attenzione:</b> dopo che sono state cancellate, le registrazioni non possono più essere utilizzate o ripristinate.	Wilt u alle tiptoi® CREATE opnames van uw tiptoi® stift wissen?\n\n<b>Let op:</b> de opnames kunnen na het wissen niet meer worden gebruikt en niet worden hersteld.	Вы хотите удалить все записи tiptoi® CREATE с Вашей tiptoi®ручки?\n\n<b>Внимание:</b> После удаления записи не могут быть использованы или восстановлены.
popup_delete_all_recordings_confirm	Löschen	Supprimer	Cancella	Wissen	Удалить
popup_delete_all_recordings_decline	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_check_corrupted_files_head	Stift-Prüfung durchführen	Effectuer un contrôle du stylet	Eseguire la verifica del lettore digitale	Stiftcontrole uitvoeren	Провести тест ручки
popup_check_corrupted_files_message	Wollen Sie Ihren tiptoi® Stift jetzt auf fehlerhafte Audiodateien überprüfen?\n\n<b>Hinweis</b>: Der Vorgang kann einige Minuten dauern. Alle aktiven Vorgänge auf dem Stift werden abgebrochen.	Voulez-vous contrôler maintenant la présence de fichiers audio défectueux sur votre stylet tiptoi® ?\n\n<b>Remarque</b> : Cette opération peut prendre plusieurs minutes. Toutes les actions en cours sur le stylet seront annulées.	Volete verificare la presenza di file audio difettosi sul vostro lettore tiptoi®?\n\n<b>Nota</b>: l'operazione può durare qualche minuto. Tutte le operazioni attive sul lettore vengono interrotte.	Wilt u uw tiptoi® stift nu op foute audiobestanden controleren?\n\n<b>Opmerking</b>: het proces kan enkele minuten duren. Alle actieve processen op de stift worden afgebroken.	Проверить ручку tiptoi® на отсутствие аудиофайлов?\n\n<b> Ссылка</b>: Это может занять несколько минут. Все активные проецессы будут прерваны.
popup_check_corrupted_files_confirm	Stift prüfen	Contrôler le stylet	Verificare il lettore digitale	Stift controleren	Проверить ручку
popup_check_corrupted_files_decline	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_checking_corrupted_files_head	Stift-Prüfung	Contrôle du lecteur	Verifica del lettore	Stiftcontrole	Проверка ручки
popup_checking_corrupted_files_message	Der angeschlossene tiptoi® Stift wird überprüft.	Contrôle du lecteur tiptoi® connecté en cours.	Viene verificato il lettore digitale tiptoi® collegato.	De aangesloten tiptoi® stift wordt gecontroleerd.	Подключённая ручка tiptoi® проверяется
popup_reinstall_corrupted_files_head	Stift-Prüfung abgeschlossen	Fin du contrôle de stylet	Conclusa verifica del lettore	Stiftcontrole voltooid	Проверка ручки завершена
popup_reinstall_corrupted_files_message	Ihr tiptoi® Stift wurde überprüft und es wurden fehlerhafte Audiodateien gefunden und gelöscht.\n\nWollen Sie die gelöschten Dateien neu auf Ihren Stift übertragen?	Votre stylet tiptoi® a été examiné et des fichiers audio incorrects ont été trouvés et supprimés.\n\nVoulez-vous transférer à nouveau les fichiers supprimés sur votre stylet ?	Il vostro lettore tiptoi® è stato controllato e sono stati trovati e cancellati file audio difettosi.\n\nDesiderate riprovare a caricare i file che sono stati cancellati sul lettore?	Uw tiptoi® stift werd gecontroleerd en er werden foute audiobestanden gevonden en gewist.\n\nWilt u de gewiste bestanden opnieuw op uw stift overzetten?	Ваша ручка tiptoi® была проверена, на ней были обнаружены и удалены аудиофайлы с несоответствиями.\n\n Перенести удалённые аудиофайлы на ручку заново?
popup_reinstall_corrupted_files_confirm	Übertragen	Transférer	Trasferisci	Overzetten	Перенести
popup_reinstall_corrupted_files_decline	Jetzt nicht	Pas maintenant	Non ora	Nu niet	Не сейчас
popup_check_corrupted_files_completed_head	Stift-Prüfung abgeschlossen	Fin du contrôle de stylet	Conclusa verifica del lettore	Stiftcontrole voltooid	Проверка ручки завершена
popup_check_corrupted_files_completed_message	Die Prüfung Ihres tiptoi® Stiftes wurde erfolgreich abgeschlossen. Es wurden keine Fehler gefunden!	Le contrôle de votre stylet tiptoi® a été effectué avec succès. Aucune erreur n’a été détectée !	La verifica del lettore tiptoi® è riuscita. Non sono stati trovati errori.	De controle van uw tiptoi® stift werd met succes voltooid. Er werden geen fouten gevonden!	Проверка Вашей ручки tiptoi® была успешна завершена. Ошибок не обнаружено!
popup_check_corrupted_files_completed_button	OK	OK	OK	OK	ОК
popup_install_create_head	Stift mit Aufnahmefunktion erforderlich	Stylet avec fonction d'enregistrement requis	Necessario un lettore digitale con funzione di registrazione	Stift met opnamefunctie vereist	Необходима ручка с функцией записи
popup_install_create_message	Der angeschlossen tiptoi® Stift unterstützt die ausgewählte Audiodatei nicht.\nUm tiptoi® CREATE Produkte zu nutzen, ist ein tiptoi® Stift mit Aufnahmefunktion erforderlich.\nWollen Sie die Audiodatei trotzdem auf Ihren Stift übertragen?	Le stylet tiptoi® connecté ne prend pas en charge le fichier audio sélectionné.\nPour utiliser des produits tiptoi® CREATE, un stylet tiptoi® avec fonction d’enregistrement est requis. \nSouhaitez-vous quand même transférer le fichier audio sur votre stylet ?	Il lettore tiptoi® collegato non supporta il file audio selezionato.\nPer poter utilizzare i prodotti tiptoi® CREATE è necessario un lettore tiptoi® con funzione di registrazione.\nDesiderate trasferire lo stesso i file audio sul vostro lettore?	De aangesloten tiptoi® stift ondersteunt het geselecteerde audiobestand niet.\nOm gebruik te maken van tiptoi® CREATE-producten, is een tiptoi® stift met opnamefunctie vereist.\nWilt u het audiobestand alsnog op uw stift overzetten?	Подключённая ручка tiptoi® не поддерживает выбранный аудиофайл.\nДля использования продуктов tiptoi® CREATE необходима ручка tiptoi® с функцией записи.\nВсё равно перенести аудиофайл на Вашу ручку?
popup_install_create_confirm	Übertragen	Transférer	Trasferisci	Overzetten	Перенести
popup_install_create_decline	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_shop_create_head	Stift mit Aufnahmefunktion erforderlich	Stylet avec fonction d'enregistrement requis	Necessario un lettore digitale con funzione di registrazione	Stift met opnamefunctie vereist	Необходима ручка с функцией записи
